"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"5051","Injured Cassualties (Number)","2008","All road users","Female","25 - 34 years",807
"5052","All Killed and Injured Casualties (Number)","2008","All road users","Female","25 - 34 years",818
"5053","Killed Casualties (Number)","2009","All road users","Female","25 - 34 years",11
"5054","Injured Cassualties (Number)","2009","All road users","Female","25 - 34 years",872
"5055","All Killed and Injured Casualties (Number)","2009","All road users","Female","25 - 34 years",883
"5056","Killed Casualties (Number)","2010","All road users","Female","25 - 34 years",7
"5057","Injured Cassualties (Number)","2010","All road users","Female","25 - 34 years",789
"5058","All Killed and Injured Casualties (Number)","2010","All road users","Female","25 - 34 years",796
"5059","Killed Casualties (Number)","2011","All road users","Female","25 - 34 years",6
"5060","Injured Cassualties (Number)","2011","All road users","Female","25 - 34 years",669
"5061","All Killed and Injured Casualties (Number)","2011","All road users","Female","25 - 34 years",675
"5062","Killed Casualties (Number)","2012","All road users","Female","25 - 34 years",12
"5063","Injured Cassualties (Number)","2012","All road users","Female","25 - 34 years",714
"5064","All Killed and Injured Casualties (Number)","2012","All road users","Female","25 - 34 years",726
"5065","Killed Casualties (Number)","2013","All road users","Female","25 - 34 years",5
"5066","Injured Cassualties (Number)","2013","All road users","Female","25 - 34 years",598
"5067","All Killed and Injured Casualties (Number)","2013","All road users","Female","25 - 34 years",603
"5068","Killed Casualties (Number)","2014","All road users","Female","25 - 34 years",4
"5069","Injured Cassualties (Number)","2014","All road users","Female","25 - 34 years",719
"5070","All Killed and Injured Casualties (Number)","2014","All road users","Female","25 - 34 years",723
"5071","Killed Casualties (Number)","2015","All road users","Female","25 - 34 years",8
"5072","Injured Cassualties (Number)","2015","All road users","Female","25 - 34 years",705
"5073","All Killed and Injured Casualties (Number)","2015","All road users","Female","25 - 34 years",713
"5074","Killed Casualties (Number)","2016","All road users","Female","25 - 34 years",11
"5075","Injured Cassualties (Number)","2016","All road users","Female","25 - 34 years",685
"5076","All Killed and Injured Casualties (Number)","2016","All road users","Female","25 - 34 years",696
"5077","Killed Casualties (Number)","2017","All road users","Female","25 - 34 years",5
"5078","Injured Cassualties (Number)","2017","All road users","Female","25 - 34 years",697
"5079","All Killed and Injured Casualties (Number)","2017","All road users","Female","25 - 34 years",702
"5080","Killed Casualties (Number)","2018","All road users","Female","25 - 34 years",2
"5081","Injured Cassualties (Number)","2018","All road users","Female","25 - 34 years",694
"5082","All Killed and Injured Casualties (Number)","2018","All road users","Female","25 - 34 years",696
"5083","Killed Casualties (Number)","2005","Pedestrians","Female","25 - 34 years",2
"5084","Injured Cassualties (Number)","2005","Pedestrians","Female","25 - 34 years",58
"5085","All Killed and Injured Casualties (Number)","2005","Pedestrians","Female","25 - 34 years",60
"5086","Killed Casualties (Number)","2006","Pedestrians","Female","25 - 34 years",0
"5087","Injured Cassualties (Number)","2006","Pedestrians","Female","25 - 34 years",45
"5088","All Killed and Injured Casualties (Number)","2006","Pedestrians","Female","25 - 34 years",45
"5089","Killed Casualties (Number)","2007","Pedestrians","Female","25 - 34 years",0
"5090","Injured Cassualties (Number)","2007","Pedestrians","Female","25 - 34 years",50
"5091","All Killed and Injured Casualties (Number)","2007","Pedestrians","Female","25 - 34 years",50
"5092","Killed Casualties (Number)","2008","Pedestrians","Female","25 - 34 years",2
"5093","Injured Cassualties (Number)","2008","Pedestrians","Female","25 - 34 years",56
"5094","All Killed and Injured Casualties (Number)","2008","Pedestrians","Female","25 - 34 years",58
"5095","Killed Casualties (Number)","2009","Pedestrians","Female","25 - 34 years",2
"5096","Injured Cassualties (Number)","2009","Pedestrians","Female","25 - 34 years",72
"5097","All Killed and Injured Casualties (Number)","2009","Pedestrians","Female","25 - 34 years",74
"5098","Killed Casualties (Number)","2010","Pedestrians","Female","25 - 34 years",0
"5099","Injured Cassualties (Number)","2010","Pedestrians","Female","25 - 34 years",46
"5100","All Killed and Injured Casualties (Number)","2010","Pedestrians","Female","25 - 34 years",46
"5101","Killed Casualties (Number)","2011","Pedestrians","Female","25 - 34 years",0
"5102","Injured Cassualties (Number)","2011","Pedestrians","Female","25 - 34 years",53
"5103","All Killed and Injured Casualties (Number)","2011","Pedestrians","Female","25 - 34 years",53
"5104","Killed Casualties (Number)","2012","Pedestrians","Female","25 - 34 years",0
"5105","Injured Cassualties (Number)","2012","Pedestrians","Female","25 - 34 years",49
"5106","All Killed and Injured Casualties (Number)","2012","Pedestrians","Female","25 - 34 years",49
"5107","Killed Casualties (Number)","2013","Pedestrians","Female","25 - 34 years",0
"5108","Injured Cassualties (Number)","2013","Pedestrians","Female","25 - 34 years",47
"5109","All Killed and Injured Casualties (Number)","2013","Pedestrians","Female","25 - 34 years",47
"5110","Killed Casualties (Number)","2014","Pedestrians","Female","25 - 34 years",1
"5111","Injured Cassualties (Number)","2014","Pedestrians","Female","25 - 34 years",59
"5112","All Killed and Injured Casualties (Number)","2014","Pedestrians","Female","25 - 34 years",60
"5113","Killed Casualties (Number)","2015","Pedestrians","Female","25 - 34 years",2
"5114","Injured Cassualties (Number)","2015","Pedestrians","Female","25 - 34 years",61
"5115","All Killed and Injured Casualties (Number)","2015","Pedestrians","Female","25 - 34 years",63
"5116","Killed Casualties (Number)","2016","Pedestrians","Female","25 - 34 years",0
"5117","Injured Cassualties (Number)","2016","Pedestrians","Female","25 - 34 years",64
"5118","All Killed and Injured Casualties (Number)","2016","Pedestrians","Female","25 - 34 years",64
"5119","Killed Casualties (Number)","2017","Pedestrians","Female","25 - 34 years",1
"5120","Injured Cassualties (Number)","2017","Pedestrians","Female","25 - 34 years",82
"5121","All Killed and Injured Casualties (Number)","2017","Pedestrians","Female","25 - 34 years",83
"5122","Killed Casualties (Number)","2018","Pedestrians","Female","25 - 34 years",1
"5123","Injured Cassualties (Number)","2018","Pedestrians","Female","25 - 34 years",87
"5124","All Killed and Injured Casualties (Number)","2018","Pedestrians","Female","25 - 34 years",88
"5125","Killed Casualties (Number)","2005","Pedal cyclists","Female","25 - 34 years",0
"5126","Injured Cassualties (Number)","2005","Pedal cyclists","Female","25 - 34 years",8
"5127","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Female","25 - 34 years",8
"5128","Killed Casualties (Number)","2006","Pedal cyclists","Female","25 - 34 years",2
"5129","Injured Cassualties (Number)","2006","Pedal cyclists","Female","25 - 34 years",12
"5130","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Female","25 - 34 years",14
"5131","Killed Casualties (Number)","2007","Pedal cyclists","Female","25 - 34 years",0
"5132","Injured Cassualties (Number)","2007","Pedal cyclists","Female","25 - 34 years",20
"5133","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Female","25 - 34 years",20
"5134","Killed Casualties (Number)","2008","Pedal cyclists","Female","25 - 34 years",0
"5135","Injured Cassualties (Number)","2008","Pedal cyclists","Female","25 - 34 years",31
"5136","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Female","25 - 34 years",31
"5137","Killed Casualties (Number)","2009","Pedal cyclists","Female","25 - 34 years",0
"5138","Injured Cassualties (Number)","2009","Pedal cyclists","Female","25 - 34 years",30
"5139","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Female","25 - 34 years",30
"5140","Killed Casualties (Number)","2010","Pedal cyclists","Female","25 - 34 years",0
"5141","Injured Cassualties (Number)","2010","Pedal cyclists","Female","25 - 34 years",39
"5142","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Female","25 - 34 years",39
"5143","Killed Casualties (Number)","2011","Pedal cyclists","Female","25 - 34 years",0
"5144","Injured Cassualties (Number)","2011","Pedal cyclists","Female","25 - 34 years",29
"5145","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Female","25 - 34 years",29
"5146","Killed Casualties (Number)","2012","Pedal cyclists","Female","25 - 34 years",0
"5147","Injured Cassualties (Number)","2012","Pedal cyclists","Female","25 - 34 years",56
"5148","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Female","25 - 34 years",56
"5149","Killed Casualties (Number)","2013","Pedal cyclists","Female","25 - 34 years",1
"5150","Injured Cassualties (Number)","2013","Pedal cyclists","Female","25 - 34 years",45
"5151","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Female","25 - 34 years",46
"5152","Killed Casualties (Number)","2014","Pedal cyclists","Female","25 - 34 years",1
"5153","Injured Cassualties (Number)","2014","Pedal cyclists","Female","25 - 34 years",69
"5154","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Female","25 - 34 years",70
"5155","Killed Casualties (Number)","2015","Pedal cyclists","Female","25 - 34 years",0
"5156","Injured Cassualties (Number)","2015","Pedal cyclists","Female","25 - 34 years",75
"5157","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Female","25 - 34 years",75
"5158","Killed Casualties (Number)","2016","Pedal cyclists","Female","25 - 34 years",1
"5159","Injured Cassualties (Number)","2016","Pedal cyclists","Female","25 - 34 years",70
"5160","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Female","25 - 34 years",71
"5161","Killed Casualties (Number)","2017","Pedal cyclists","Female","25 - 34 years",1
"5162","Injured Cassualties (Number)","2017","Pedal cyclists","Female","25 - 34 years",91
"5163","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Female","25 - 34 years",92
"5164","Killed Casualties (Number)","2018","Pedal cyclists","Female","25 - 34 years",0
"5165","Injured Cassualties (Number)","2018","Pedal cyclists","Female","25 - 34 years",87
"5166","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Female","25 - 34 years",87
"5167","Killed Casualties (Number)","2005","Motor cyclists","Female","25 - 34 years",1
"5168","Injured Cassualties (Number)","2005","Motor cyclists","Female","25 - 34 years",13
"5169","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Female","25 - 34 years",14
"5170","Killed Casualties (Number)","2006","Motor cyclists","Female","25 - 34 years",1
"5171","Injured Cassualties (Number)","2006","Motor cyclists","Female","25 - 34 years",19
"5172","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Female","25 - 34 years",20
"5173","Killed Casualties (Number)","2007","Motor cyclists","Female","25 - 34 years",0
"5174","Injured Cassualties (Number)","2007","Motor cyclists","Female","25 - 34 years",9
"5175","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Female","25 - 34 years",9
"5176","Killed Casualties (Number)","2008","Motor cyclists","Female","25 - 34 years",0
"5177","Injured Cassualties (Number)","2008","Motor cyclists","Female","25 - 34 years",14
"5178","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Female","25 - 34 years",14
"5179","Killed Casualties (Number)","2009","Motor cyclists","Female","25 - 34 years",0
"5180","Injured Cassualties (Number)","2009","Motor cyclists","Female","25 - 34 years",6
"5181","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Female","25 - 34 years",6
"5182","Killed Casualties (Number)","2010","Motor cyclists","Female","25 - 34 years",1
"5183","Injured Cassualties (Number)","2010","Motor cyclists","Female","25 - 34 years",11
"5184","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Female","25 - 34 years",12
"5185","Killed Casualties (Number)","2011","Motor cyclists","Female","25 - 34 years",0
"5186","Injured Cassualties (Number)","2011","Motor cyclists","Female","25 - 34 years",10
"5187","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Female","25 - 34 years",10
"5188","Killed Casualties (Number)","2012","Motor cyclists","Female","25 - 34 years",2
"5189","Injured Cassualties (Number)","2012","Motor cyclists","Female","25 - 34 years",9
"5190","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Female","25 - 34 years",11
"5191","Killed Casualties (Number)","2013","Motor cyclists","Female","25 - 34 years",0
"5192","Injured Cassualties (Number)","2013","Motor cyclists","Female","25 - 34 years",5
"5193","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Female","25 - 34 years",5
"5194","Killed Casualties (Number)","2014","Motor cyclists","Female","25 - 34 years",0
"5195","Injured Cassualties (Number)","2014","Motor cyclists","Female","25 - 34 years",8
"5196","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Female","25 - 34 years",8
"5197","Killed Casualties (Number)","2015","Motor cyclists","Female","25 - 34 years",0
"5198","Injured Cassualties (Number)","2015","Motor cyclists","Female","25 - 34 years",9
"5199","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Female","25 - 34 years",9
"5200","Killed Casualties (Number)","2016","Motor cyclists","Female","25 - 34 years",0
"5201","Injured Cassualties (Number)","2016","Motor cyclists","Female","25 - 34 years",8
"5202","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Female","25 - 34 years",8
"5203","Killed Casualties (Number)","2017","Motor cyclists","Female","25 - 34 years",1
"5204","Injured Cassualties (Number)","2017","Motor cyclists","Female","25 - 34 years",7
"5205","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Female","25 - 34 years",8
"5206","Killed Casualties (Number)","2018","Motor cyclists","Female","25 - 34 years",0
"5207","Injured Cassualties (Number)","2018","Motor cyclists","Female","25 - 34 years",9
"5208","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Female","25 - 34 years",9
"5209","Killed Casualties (Number)","2005","All Car users","Female","25 - 34 years",14
"5210","Injured Cassualties (Number)","2005","All Car users","Female","25 - 34 years",597
"5211","All Killed and Injured Casualties (Number)","2005","All Car users","Female","25 - 34 years",611
"5212","Killed Casualties (Number)","2006","All Car users","Female","25 - 34 years",11
"5213","Injured Cassualties (Number)","2006","All Car users","Female","25 - 34 years",597
"5214","All Killed and Injured Casualties (Number)","2006","All Car users","Female","25 - 34 years",608
"5215","Killed Casualties (Number)","2007","All Car users","Female","25 - 34 years",8
"5216","Injured Cassualties (Number)","2007","All Car users","Female","25 - 34 years",588
"5217","All Killed and Injured Casualties (Number)","2007","All Car users","Female","25 - 34 years",596
"5218","Killed Casualties (Number)","2008","All Car users","Female","25 - 34 years",9
"5219","Injured Cassualties (Number)","2008","All Car users","Female","25 - 34 years",677
"5220","All Killed and Injured Casualties (Number)","2008","All Car users","Female","25 - 34 years",686
"5221","Killed Casualties (Number)","2009","All Car users","Female","25 - 34 years",9
"5222","Injured Cassualties (Number)","2009","All Car users","Female","25 - 34 years",744
"5223","All Killed and Injured Casualties (Number)","2009","All Car users","Female","25 - 34 years",753
"5224","Killed Casualties (Number)","2010","All Car users","Female","25 - 34 years",6
"5225","Injured Cassualties (Number)","2010","All Car users","Female","25 - 34 years",666
"5226","All Killed and Injured Casualties (Number)","2010","All Car users","Female","25 - 34 years",672
"5227","Killed Casualties (Number)","2011","All Car users","Female","25 - 34 years",6
"5228","Injured Cassualties (Number)","2011","All Car users","Female","25 - 34 years",545
"5229","All Killed and Injured Casualties (Number)","2011","All Car users","Female","25 - 34 years",551
"5230","Killed Casualties (Number)","2012","All Car users","Female","25 - 34 years",10
"5231","Injured Cassualties (Number)","2012","All Car users","Female","25 - 34 years",576
"5232","All Killed and Injured Casualties (Number)","2012","All Car users","Female","25 - 34 years",586
"5233","Killed Casualties (Number)","2013","All Car users","Female","25 - 34 years",3
"5234","Injured Cassualties (Number)","2013","All Car users","Female","25 - 34 years",480
"5235","All Killed and Injured Casualties (Number)","2013","All Car users","Female","25 - 34 years",483
"5236","Killed Casualties (Number)","2014","All Car users","Female","25 - 34 years",2
"5237","Injured Cassualties (Number)","2014","All Car users","Female","25 - 34 years",561
"5238","All Killed and Injured Casualties (Number)","2014","All Car users","Female","25 - 34 years",563
"5239","Killed Casualties (Number)","2015","All Car users","Female","25 - 34 years",6
"5240","Injured Cassualties (Number)","2015","All Car users","Female","25 - 34 years",530
"5241","All Killed and Injured Casualties (Number)","2015","All Car users","Female","25 - 34 years",536
"5242","Killed Casualties (Number)","2016","All Car users","Female","25 - 34 years",10
"5243","Injured Cassualties (Number)","2016","All Car users","Female","25 - 34 years",528
"5244","All Killed and Injured Casualties (Number)","2016","All Car users","Female","25 - 34 years",538
"5245","Killed Casualties (Number)","2017","All Car users","Female","25 - 34 years",2
"5246","Injured Cassualties (Number)","2017","All Car users","Female","25 - 34 years",497
"5247","All Killed and Injured Casualties (Number)","2017","All Car users","Female","25 - 34 years",499
"5248","Killed Casualties (Number)","2018","All Car users","Female","25 - 34 years",1
"5249","Injured Cassualties (Number)","2018","All Car users","Female","25 - 34 years",487
"5250","All Killed and Injured Casualties (Number)","2018","All Car users","Female","25 - 34 years",488
"5251","Killed Casualties (Number)","2005","Car drivers","Female","25 - 34 years",10
"5252","Injured Cassualties (Number)","2005","Car drivers","Female","25 - 34 years",448
"5253","All Killed and Injured Casualties (Number)","2005","Car drivers","Female","25 - 34 years",458
"5254","Killed Casualties (Number)","2006","Car drivers","Female","25 - 34 years",8
"5255","Injured Cassualties (Number)","2006","Car drivers","Female","25 - 34 years",460
"5256","All Killed and Injured Casualties (Number)","2006","Car drivers","Female","25 - 34 years",468
"5257","Killed Casualties (Number)","2007","Car drivers","Female","25 - 34 years",6
"5258","Injured Cassualties (Number)","2007","Car drivers","Female","25 - 34 years",430
"5259","All Killed and Injured Casualties (Number)","2007","Car drivers","Female","25 - 34 years",436
"5260","Killed Casualties (Number)","2008","Car drivers","Female","25 - 34 years",7
"5261","Injured Cassualties (Number)","2008","Car drivers","Female","25 - 34 years",465
"5262","All Killed and Injured Casualties (Number)","2008","Car drivers","Female","25 - 34 years",472
"5263","Killed Casualties (Number)","2009","Car drivers","Female","25 - 34 years",8
"5264","Injured Cassualties (Number)","2009","Car drivers","Female","25 - 34 years",538
"5265","All Killed and Injured Casualties (Number)","2009","Car drivers","Female","25 - 34 years",546
"5266","Killed Casualties (Number)","2010","Car drivers","Female","25 - 34 years",4
"5267","Injured Cassualties (Number)","2010","Car drivers","Female","25 - 34 years",451
"5268","All Killed and Injured Casualties (Number)","2010","Car drivers","Female","25 - 34 years",455
"5269","Killed Casualties (Number)","2011","Car drivers","Female","25 - 34 years",3
"5270","Injured Cassualties (Number)","2011","Car drivers","Female","25 - 34 years",370
"5271","All Killed and Injured Casualties (Number)","2011","Car drivers","Female","25 - 34 years",373
"5272","Killed Casualties (Number)","2012","Car drivers","Female","25 - 34 years",8
"5273","Injured Cassualties (Number)","2012","Car drivers","Female","25 - 34 years",384
"5274","All Killed and Injured Casualties (Number)","2012","Car drivers","Female","25 - 34 years",392
"5275","Killed Casualties (Number)","2013","Car drivers","Female","25 - 34 years",2
"5276","Injured Cassualties (Number)","2013","Car drivers","Female","25 - 34 years",343
"5277","All Killed and Injured Casualties (Number)","2013","Car drivers","Female","25 - 34 years",345
"5278","Killed Casualties (Number)","2014","Car drivers","Female","25 - 34 years",2
"5279","Injured Cassualties (Number)","2014","Car drivers","Female","25 - 34 years",373
"5280","All Killed and Injured Casualties (Number)","2014","Car drivers","Female","25 - 34 years",375
"5281","Killed Casualties (Number)","2015","Car drivers","Female","25 - 34 years",5
"5282","Injured Cassualties (Number)","2015","Car drivers","Female","25 - 34 years",369
"5283","All Killed and Injured Casualties (Number)","2015","Car drivers","Female","25 - 34 years",374
"5284","Killed Casualties (Number)","2016","Car drivers","Female","25 - 34 years",8
"5285","Injured Cassualties (Number)","2016","Car drivers","Female","25 - 34 years",381
"5286","All Killed and Injured Casualties (Number)","2016","Car drivers","Female","25 - 34 years",389
"5287","Killed Casualties (Number)","2017","Car drivers","Female","25 - 34 years",2
"5288","Injured Cassualties (Number)","2017","Car drivers","Female","25 - 34 years",374
"5289","All Killed and Injured Casualties (Number)","2017","Car drivers","Female","25 - 34 years",376
"5290","Killed Casualties (Number)","2018","Car drivers","Female","25 - 34 years",1
"5291","Injured Cassualties (Number)","2018","Car drivers","Female","25 - 34 years",344
"5292","All Killed and Injured Casualties (Number)","2018","Car drivers","Female","25 - 34 years",345
"5293","Killed Casualties (Number)","2005","Car passengers","Female","25 - 34 years",4
"5294","Injured Cassualties (Number)","2005","Car passengers","Female","25 - 34 years",149
"5295","All Killed and Injured Casualties (Number)","2005","Car passengers","Female","25 - 34 years",153
"5296","Killed Casualties (Number)","2006","Car passengers","Female","25 - 34 years",3
"5297","Injured Cassualties (Number)","2006","Car passengers","Female","25 - 34 years",137
"5298","All Killed and Injured Casualties (Number)","2006","Car passengers","Female","25 - 34 years",140
"5299","Killed Casualties (Number)","2007","Car passengers","Female","25 - 34 years",2
"5300","Injured Cassualties (Number)","2007","Car passengers","Female","25 - 34 years",158
"5301","All Killed and Injured Casualties (Number)","2007","Car passengers","Female","25 - 34 years",160
"5302","Killed Casualties (Number)","2008","Car passengers","Female","25 - 34 years",2
"5303","Injured Cassualties (Number)","2008","Car passengers","Female","25 - 34 years",212
"5304","All Killed and Injured Casualties (Number)","2008","Car passengers","Female","25 - 34 years",214
"5305","Killed Casualties (Number)","2009","Car passengers","Female","25 - 34 years",1
"5306","Injured Cassualties (Number)","2009","Car passengers","Female","25 - 34 years",206
"5307","All Killed and Injured Casualties (Number)","2009","Car passengers","Female","25 - 34 years",207
"5308","Killed Casualties (Number)","2010","Car passengers","Female","25 - 34 years",2
"5309","Injured Cassualties (Number)","2010","Car passengers","Female","25 - 34 years",215
"5310","All Killed and Injured Casualties (Number)","2010","Car passengers","Female","25 - 34 years",217
"5311","Killed Casualties (Number)","2011","Car passengers","Female","25 - 34 years",3
"5312","Injured Cassualties (Number)","2011","Car passengers","Female","25 - 34 years",175
"5313","All Killed and Injured Casualties (Number)","2011","Car passengers","Female","25 - 34 years",178
"5314","Killed Casualties (Number)","2012","Car passengers","Female","25 - 34 years",2
"5315","Injured Cassualties (Number)","2012","Car passengers","Female","25 - 34 years",192
"5316","All Killed and Injured Casualties (Number)","2012","Car passengers","Female","25 - 34 years",194
"5317","Killed Casualties (Number)","2013","Car passengers","Female","25 - 34 years",1
"5318","Injured Cassualties (Number)","2013","Car passengers","Female","25 - 34 years",137
"5319","All Killed and Injured Casualties (Number)","2013","Car passengers","Female","25 - 34 years",138
"5320","Killed Casualties (Number)","2014","Car passengers","Female","25 - 34 years",0
"5321","Injured Cassualties (Number)","2014","Car passengers","Female","25 - 34 years",188
"5322","All Killed and Injured Casualties (Number)","2014","Car passengers","Female","25 - 34 years",188
"5323","Killed Casualties (Number)","2015","Car passengers","Female","25 - 34 years",1
"5324","Injured Cassualties (Number)","2015","Car passengers","Female","25 - 34 years",161
"5325","All Killed and Injured Casualties (Number)","2015","Car passengers","Female","25 - 34 years",162
"5326","Killed Casualties (Number)","2016","Car passengers","Female","25 - 34 years",2
"5327","Injured Cassualties (Number)","2016","Car passengers","Female","25 - 34 years",147
"5328","All Killed and Injured Casualties (Number)","2016","Car passengers","Female","25 - 34 years",149
"5329","Killed Casualties (Number)","2017","Car passengers","Female","25 - 34 years",0
"5330","Injured Cassualties (Number)","2017","Car passengers","Female","25 - 34 years",123
"5331","All Killed and Injured Casualties (Number)","2017","Car passengers","Female","25 - 34 years",123
"5332","Killed Casualties (Number)","2018","Car passengers","Female","25 - 34 years",0
"5333","Injured Cassualties (Number)","2018","Car passengers","Female","25 - 34 years",143
"5334","All Killed and Injured Casualties (Number)","2018","Car passengers","Female","25 - 34 years",143
"5335","Killed Casualties (Number)","2005","Other road users","Female","25 - 34 years",2
"5336","Injured Cassualties (Number)","2005","Other road users","Female","25 - 34 years",36
"5337","All Killed and Injured Casualties (Number)","2005","Other road users","Female","25 - 34 years",38
"5338","Killed Casualties (Number)","2006","Other road users","Female","25 - 34 years",1
"5339","Injured Cassualties (Number)","2006","Other road users","Female","25 - 34 years",27
"5340","All Killed and Injured Casualties (Number)","2006","Other road users","Female","25 - 34 years",28
"5341","Killed Casualties (Number)","2007","Other road users","Female","25 - 34 years",0
"5342","Injured Cassualties (Number)","2007","Other road users","Female","25 - 34 years",29
"5343","All Killed and Injured Casualties (Number)","2007","Other road users","Female","25 - 34 years",29
"5344","Killed Casualties (Number)","2008","Other road users","Female","25 - 34 years",0
"5345","Injured Cassualties (Number)","2008","Other road users","Female","25 - 34 years",29
"5346","All Killed and Injured Casualties (Number)","2008","Other road users","Female","25 - 34 years",29
"5347","Killed Casualties (Number)","2009","Other road users","Female","25 - 34 years",0
"5348","Injured Cassualties (Number)","2009","Other road users","Female","25 - 34 years",20
"5349","All Killed and Injured Casualties (Number)","2009","Other road users","Female","25 - 34 years",20
"5350","Killed Casualties (Number)","2010","Other road users","Female","25 - 34 years",0
"5351","Injured Cassualties (Number)","2010","Other road users","Female","25 - 34 years",27
"5352","All Killed and Injured Casualties (Number)","2010","Other road users","Female","25 - 34 years",27
"5353","Killed Casualties (Number)","2011","Other road users","Female","25 - 34 years",0
"5354","Injured Cassualties (Number)","2011","Other road users","Female","25 - 34 years",32
"5355","All Killed and Injured Casualties (Number)","2011","Other road users","Female","25 - 34 years",32
"5356","Killed Casualties (Number)","2012","Other road users","Female","25 - 34 years",0
"5357","Injured Cassualties (Number)","2012","Other road users","Female","25 - 34 years",24
"5358","All Killed and Injured Casualties (Number)","2012","Other road users","Female","25 - 34 years",24
"5359","Killed Casualties (Number)","2013","Other road users","Female","25 - 34 years",1
"5360","Injured Cassualties (Number)","2013","Other road users","Female","25 - 34 years",21
"5361","All Killed and Injured Casualties (Number)","2013","Other road users","Female","25 - 34 years",22
"5362","Killed Casualties (Number)","2014","Other road users","Female","25 - 34 years",0
"5363","Injured Cassualties (Number)","2014","Other road users","Female","25 - 34 years",22
"5364","All Killed and Injured Casualties (Number)","2014","Other road users","Female","25 - 34 years",22
"5365","Killed Casualties (Number)","2015","Other road users","Female","25 - 34 years",0
"5366","Injured Cassualties (Number)","2015","Other road users","Female","25 - 34 years",30
"5367","All Killed and Injured Casualties (Number)","2015","Other road users","Female","25 - 34 years",30
"5368","Killed Casualties (Number)","2016","Other road users","Female","25 - 34 years",0
"5369","Injured Cassualties (Number)","2016","Other road users","Female","25 - 34 years",15
"5370","All Killed and Injured Casualties (Number)","2016","Other road users","Female","25 - 34 years",15
"5371","Killed Casualties (Number)","2017","Other road users","Female","25 - 34 years",0
"5372","Injured Cassualties (Number)","2017","Other road users","Female","25 - 34 years",20
"5373","All Killed and Injured Casualties (Number)","2017","Other road users","Female","25 - 34 years",20
"5374","Killed Casualties (Number)","2018","Other road users","Female","25 - 34 years",0
"5375","Injured Cassualties (Number)","2018","Other road users","Female","25 - 34 years",24
"5376","All Killed and Injured Casualties (Number)","2018","Other road users","Female","25 - 34 years",24
"5377","Killed Casualties (Number)","2005","All road users","Male","35 - 44 years",38
"5378","Injured Cassualties (Number)","2005","All road users","Male","35 - 44 years",667
"5379","All Killed and Injured Casualties (Number)","2005","All road users","Male","35 - 44 years",705
"5380","Killed Casualties (Number)","2006","All road users","Male","35 - 44 years",30
"5381","Injured Cassualties (Number)","2006","All road users","Male","35 - 44 years",668
"5382","All Killed and Injured Casualties (Number)","2006","All road users","Male","35 - 44 years",698
"5383","Killed Casualties (Number)","2007","All road users","Male","35 - 44 years",36
"5384","Injured Cassualties (Number)","2007","All road users","Male","35 - 44 years",620
"5385","All Killed and Injured Casualties (Number)","2007","All road users","Male","35 - 44 years",656
"5386","Killed Casualties (Number)","2008","All road users","Male","35 - 44 years",32
"5387","Injured Cassualties (Number)","2008","All road users","Male","35 - 44 years",698
"5388","All Killed and Injured Casualties (Number)","2008","All road users","Male","35 - 44 years",730
"5389","Killed Casualties (Number)","2009","All road users","Male","35 - 44 years",30
"5390","Injured Cassualties (Number)","2009","All road users","Male","35 - 44 years",812
"5391","All Killed and Injured Casualties (Number)","2009","All road users","Male","35 - 44 years",842
"5392","Killed Casualties (Number)","2010","All road users","Male","35 - 44 years",21
"5393","Injured Cassualties (Number)","2010","All road users","Male","35 - 44 years",693
"5394","All Killed and Injured Casualties (Number)","2010","All road users","Male","35 - 44 years",714
"5395","Killed Casualties (Number)","2011","All road users","Male","35 - 44 years",22
"5396","Injured Cassualties (Number)","2011","All road users","Male","35 - 44 years",606
"5397","All Killed and Injured Casualties (Number)","2011","All road users","Male","35 - 44 years",628
